3.26;0.829;1.676;0;1;1.453;3.770
2.189;0.58;0.863;0;0;1.348;3.115
2.125;0.638;0.831;0;0;1.348;3.531
3.027;0.331;1.472;1;0;1.807;3.510
2.094;0.827;0.86;0;0;1.886;5.390
3.222;0.331;2.177;0;0;0.706;1.819
3.179;0;1.063;0;0;2.942;3.947
3;0;0.938;1;0;2.851;3.513
2.62;0.499;0.99;0;0;2.942;4.402
2.834;0.134;0.95;0;0;1.591;3.021
2.405;0.134;0.843;0;0;1.769;3.210
2.728;0.223;0.953;0;0;1.591;2.371
2.512;0.223;0.929;1;0;1.769;3.919
2.834;0.134;1.237;0;0;1.859;3.030
2.819;0.331;1.271;0;1;0.981;2.736
2.126;0.251;1.114;0;0;0.143;2.157
2.834;0.134;1.322;0;0;1.199;2.413
3.014;0.56;1.781;0;0;-0.115;0.898
3.024;0.452;2.698;0;0;1.107;0.450
3.036;0.405;1.205;1;0;1.807;3.733
2.707;0.972;1.889;0;3;-1.169;2.976
2.978;1.246;1.103;0;1;3.988;6.535
3.111;0.732;0.923;0;0;4.068;5.643
3.315;0.223;0.96;0;0;3.395;4.629
2.71;0.93;0.724;0;0;2.526;4.838
3.326;0.647;0.986;0;1;3.112;4.081
3.332;0.134;1.294;0;0;2.51;3.436
3.896;0.134;1.984;0;0;2.591;3.450
3.155;0.638;2.128;0;0;-0.937;1.102
2.479;0.887;0.954;0;0;1.748;4.257
1.075;1.161;0.865;0;1;0.024;5.386
3.645;0.223;1.155;0;0;2.837;3.393
3.079;0.429;2.135;0;0;-0.521;1.308
3.332;0.134;1.519;0;0;2.242;3.554
2.726;0.496;1.179;0;1;1.06;2.269
3.532;0.134;1.11;0;0;2.813;4.165
4.216;0.223;1.248;0;0;5.089;5.896
3.605;0;1.15;0;0;3.562;4.829
2.918;0.223;0.944;3;0;2.066;4.590
3.833;0.405;1.522;0;1;3.492;2.092
3.669;0.223;1.599;0;0;2.274;3.665
2.824;0.223;1;1;0;2.102;3.560
2.233;0.64;0.92;1;0;2.37;4.805
3.103;0.134;1.344;0;0;1.533;3.174
4.413;0.56;1.17;1;2;3.906;7.899
3.641;0.331;1.933;0;1;1.565;2.670
3.073;0.693;1.851;0;2;0.787;4.016
3.012;0.223;1.023;0;0;2.193;3.857
3.818;0.693;1.627;2;2;2.217;5.522
4.171;0.693;1.678;0;2;2.849;4.851
3.734;0.223;1.45;2;1;2.642;3.840
3.734;0.223;1.374;2;2;2.642;4.586
2.126;0.977;0.771;0;0;3.795;5.284
2.216;0.679;0.764;0;0;2.296;3.559
3.179;0;1.063;0;0;2.942;4.091
2.62;0.499;0.99;0;0;3.21;4.330
2.728;0.223;0.953;0;0;1.859;3.755
2.126;0.83;0.899;0;0;3.478;4.552
2.216;0.582;0.839;0;0;2.127;3.620
2.086;0.64;0.838;0;0;2.127;4.459
2.834;0.134;0.95;0;0;1.859;2.827
2.126;0.405;0.917;4;2;0.411;6.380
3.08;0.405;1.609;1;1;1.619;4.786
1.636;0.64;1.695;0;0;0.408;3.861
2.219;0.604;1.537;0;0;2.026;3.262
1.594;0.223;1.333;2;0;0.094;6.297
1.818;0.499;1.468;1;0;1.672;3.546
1.5;0.83;1.891;0;0;1.817;2.920
1.512;0.64;1.844;0;0;0.347;3.203
2.56;0.134;1.758;0;0;0.347;2.283
1.818;0.134;1.445;0;0;0.202;1.559
1.359;0.134;1.13;1;0;0.094;3.470
0.667;0.582;1.361;0;0;0.202;4.748
2.333;0.251;1.946;0;0;-1.053;2.576
2.026;0.223;1.429;1;0;0.202;5.259
1.594;0.223;1.068;0;0;0.202;4.564
0.965;0.64;1.695;1;0;0.202;4.370
1.951;0.405;1.878;0;0;-1.053;0.053
1;0.405;1.5;2;0;-1.306;2.381
1.512;0.331;1.627;1;0;-0.386;2.891
3.219;0.405;1.605;0;0;0.706;1.088
3.74;0.134;1.581;0;0;2.274;3.721
3.669;0.486;1.374;0;0;3.291;3.701
3.57;1.374;2.259;0;0;2.05;6.083
5.926;0.134;1.671;0;0;6.203;4.628
3.802;0.405;1.527;1;0;1.869;3.700
2.802;0.223;1.6;0;1;1.064;1.842
2.242;1.096;1.907;0;1;-1.96;3.396
1.94;0.749;1.066;0;0;1.492;2.990
2.126;0.405;1.69;1;1;0.479;3.573
3.08;0.223;1.583;0;1;1.442;2.271
3.277;0.223;1.869;0;0;1.587;2.085
3.179;0;1.063;0;0;2.942;3.822
2.728;0.223;0.953;0;0;1.859;3.290
2.62;0.499;0.99;0;0;3.21;3.840
2.216;0.582;0.839;0;0;2.127;3.979
2.834;0.134;0.95;0;0;1.859;3.470
2.359;0.405;0.814;0;0;0.893;3.314
2.565;0.693;1.987;0;2;0.057;4.031
2.085;1.079;0.895;0;0;4.063;4.740
2.26;0.604;0.836;0;0;3.045;4.194
2.91;0;1;0;0;2.608;3.447
2.512;0.134;1.293;0;0;0.846;2.364
2.26;0.499;0.907;0;0;2.876;3.645
3.08;0.223;1.385;0;0;1.195;2.070
2.866;0.223;1.333;0;1;1.05;2.270
2.386;0.223;0.857;0;0;1.506;3.513
2.512;0.134;1.293;0;0;0.846;2.811
3.509;0.854;1.478;0;0;2.248;2.832
2.98;0.251;2.261;0;0;-0.063;1.639
2.512;0.134;1.293;0;0;0.846;2.016
